name,url
"minerals technologies, inc.",https://news.google.com/topics/CAAqJAgKIh5DQkFTRUFvS0wyMHZNRE53TW5Ca2VCSUNaVzRvQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
kraton corp,https://news.google.com/topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNRGh0ZVdwd0VnSmxiaWdBUAE?hl=en-US&gl=US&ceid=US%3Aen
ingevity corp,https://news.google.com/topics/CAAqKAgKIiJDQkFTRXdvTkwyY3ZNVEZqYmpNeWVYcDRjQklDWlc0b0FBUAE?hl=en-US&gl=US&ceid=US%3Aen
virtusa corp,https://news.google.com/topics/CAAqJAgKIh5DQkFTRUFvS0wyMHZNREp3Y0hKemVoSUNaVzRvQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
kb home,https://news.google.com/topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNRGw0YkdJekVnSmxiaWdBUAE?hl=en-US&gl=US&ceid=US%3Aen
range resources corp,https://news.google.com/topics/CAAqJAgKIh5DQkFTRUFvS0wyMHZNRE53TXpFM1h4SUNaVzRvQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
washington real estate investment trust,https://news.google.com/topics/CAAqJAgKIh5DQkFTRUFvS0wyMHZNRE53TTJoa2NSSUNaVzRvQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
"tanger factory outlet centers, inc.",https://news.google.com/topics/CAAqJAgKIh5DQkFTRUFvS0wyMHZNRE5qZW5nd1h4SUNaVzRvQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
sunstone hotel investors inc,https://news.google.com/topics/CAAqJggKIiBDQkFTRWdvTUwyY3ZNV2hpZG1wdWNHeHdFZ0psYmlnQVAB?hl=en-US&gl=US&ceid=US%3Aen
site centers corp,https://news.google.com/topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNR1E0TVhOdEVnSmxiaWdBUAE?hl=en-US&gl=US&ceid=US%3Aen
greif inc,https://news.google.com/topics/CAAqJAgKIh5DQkFTRUFvS0wyMHZNRE53TWpodVh4SUNaVzRvQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
american axle & manufacturing holdings inc,https://news.google.com/topics/CAAqJAgKIh5DQkFTRUFvS0wyMHZNRE53TVdjNGJoSUNaVzRvQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
cooper-standard holdings inc,https://news.google.com/topics/CAAqJAgKIh5DQkFTRUFvS0wyMHZNRGx0T1RGaWVoSUNaVzRvQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
dana inc,https://news.google.com/topics/CAAqIggKIhxDQkFTRHdvSkwyMHZNR0ozYlhabUVnSmxiaWdBUAE?hl=en-US&gl=US&ceid=US%3Aen
itron inc.,https://news.google.com/topics/CAAqJAgKIh5DQkFTRUFvS0wyMHZNRE53TW1kMGRoSUNaVzRvQUFQAQ?hl=en-US&gl=US&ceid=US%3Aen
